,code_insee,Football (1-13) H,Football (14-20) H,Football (21-55) H,Football (56-99) H,Tennis (1-13) H,Tennis (14-20) H,Tennis (21-55) H,Tennis (56-99) H,Basketball (1-13) H,Basketball (14-20) H,Basketball (21-55) H,Basketball (56-99) H,Judo (1-13) H,Judo (14-20) H,Judo (21-55) H,Judo (56-99) H,Handball (1-13) H,Handball (14-20) H,Handball (21-55) H,Handball (56-99) H,Golf (1-13) H,Golf (14-20) H,Golf (21-55) H,Golf (56-99) H,Natation (1-13) H,Natation (14-20) H,Natation (21-55) H,Natation (56-99) H,Rugby (1-13) H,Rugby (14-20) H,Rugby (21-55) H,Rugby (56-99) H,Football (1-13) F,Football (14-20) F,Football (21-55) F,Football (56-99) F,Tennis (1-13) F,Tennis (14-20) F,Tennis (21-55) F,Tennis (56-99) F,Basketball (1-13) F,Basketball (14-20) F,Basketball (21-55) F,Basketball (56-99) F,Judo (1-13) F,Judo (14-20) F,Judo (21-55) F,Judo (56-99) F,Handball (1-13) F,Handball (14-20) F,Handball (21-55) F,Handball (56-99) F,Golf (1-13) F,Golf (14-20) F,Golf (21-55) F,Golf (56-99) F,Natation (1-13) F,Natation (14-20) F,Natation (21-55) F,Natation (56-99) F,Rugby (1-13) F,Rugby (14-20) F,Rugby (21-55) F,Rugby (56-99) F,Licences_Football,Licences_Tennis,Licences_Basketball,Licences_Judo,Licences_Handball,Licences_Golf,Licences_Natation,Licences_Rugby
0,01,9233.0,3814.0,7215.0,606.0,3540.0,1088.0,3282.0,801.0,1843.0,724.0,1045.0,89.0,2442.0,226.0,396.0,79.0,914.0,536.0,607.0,44.0,363.0,221.0,1771.0,1636.0,856.0,166.0,301.0,69.0,1688.0,926.0,1731.0,211.0,869.0,459.0,787.0,69.0,1410.0,446.0,1445.0,337.0,1201.0,438.0,540.0,42.0,1080.0,114.0,189.0,43.0,462.0,288.0,338.0,14.0,147.0,51.0,522.0,784.0,1001.0,180.0,310.0,162.0,137.0,108.0,249.0,30.0,23052.0,12349.0,5922.0,4569.0,3203.0,5495.0,3045.0,5080.0
1,02,5575.0,3008.0,7921.0,768.0,1336.0,496.0,1332.0,321.0,953.0,502.0,547.0,54.0,2127.0,218.0,406.0,125.0,514.0,307.0,356.0,27.0,82.0,51.0,366.0,454.0,629.0,127.0,165.0,44.0,352.0,206.0,554.0,72.0,612.0,363.0,733.0,75.0,744.0,207.0,546.0,85.0,459.0,144.0,185.0,21.0,1206.0,139.0,337.0,88.0,311.0,256.0,203.0,6.0,25.0,15.0,78.0,189.0,689.0,128.0,213.0,148.0,49.0,38.0,98.0,9.0,19055.0,5067.0,2865.0,4646.0,1980.0,1260.0,2143.0,1378.0
2,03,3572.0,2048.0,5277.0,732.0,1054.0,386.0,1269.0,413.0,711.0,321.0,386.0,46.0,843.0,89.0,118.0,56.0,248.0,178.0,242.0,18.0,79.0,28.0,330.0,732.0,652.0,90.0,182.0,67.0,674.0,336.0,901.0,144.0,447.0,315.0,682.0,81.0,476.0,174.0,608.0,151.0,415.0,157.0,204.0,20.0,365.0,55.0,92.0,29.0,132.0,176.0,197.0,8.0,31.0,13.0,92.0,359.0,701.0,124.0,242.0,197.0,57.0,47.0,102.0,12.0,13154.0,4531.0,2260.0,1647.0,1199.0,1664.0,2255.0,2273.0
3,04,1489.0,644.0,1088.0,112.0,768.0,199.0,664.0,220.0,279.0,88.0,86.0,4.0,565.0,83.0,143.0,72.0,253.0,191.0,128.0,15.0,81.0,41.0,241.0,373.0,265.0,39.0,43.0,15.0,281.0,113.0,298.0,32.0,117.0,50.0,153.0,17.0,356.0,61.0,348.0,111.0,119.0,16.0,51.0,8.0,345.0,35.0,117.0,43.0,96.0,81.0,83.0,5.0,29.0,9.0,61.0,177.0,238.0,31.0,50.0,30.0,19.0,5.0,39.0,12.0,3670.0,2727.0,651.0,1403.0,852.0,1012.0,711.0,799.0
4,05,1108.0,421.0,594.0,60.0,691.0,166.0,429.0,126.0,264.0,80.0,75.0,8.0,632.0,56.0,99.0,27.0,289.0,162.0,157.0,14.0,14.0,15.0,186.0,234.0,302.0,50.0,82.0,27.0,261.0,98.0,211.0,36.0,101.0,39.0,99.0,7.0,369.0,65.0,195.0,49.0,107.0,20.0,35.0,1.0,256.0,19.0,49.0,12.0,115.0,90.0,96.0,2.0,4.0,3.0,39.0,101.0,399.0,70.0,114.0,37.0,38.0,23.0,52.0,5.0,2429.0,2090.0,590.0,1150.0,925.0,596.0,1081.0,724.0
5,06,11558.0,4665.0,6246.0,749.0,8285.0,1866.0,4635.0,1985.0,2706.0,1342.0,1150.0,114.0,4041.0,446.0,620.0,198.0,2053.0,1175.0,1103.0,116.0,615.0,285.0,2783.0,4454.0,3458.0,490.0,707.0,278.0,1008.0,373.0,1156.0,132.0,1153.0,490.0,599.0,69.0,4300.0,689.0,1864.0,835.0,1079.0,387.0,417.0,51.0,1612.0,145.0,300.0,127.0,858.0,485.0,665.0,50.0,251.0,87.0,775.0,2335.0,3321.0,579.0,1183.0,1027.0,50.0,90.0,143.0,8.0,25529.0,24459.0,7246.0,7489.0,6505.0,11585.0,11043.0,2960.0
6,07,3744.0,1934.0,3619.0,300.0,1161.0,372.0,1198.0,361.0,714.0,317.0,500.0,55.0,896.0,79.0,162.0,44.0,555.0,328.0,488.0,58.0,36.0,45.0,268.0,404.0,500.0,78.0,160.0,49.0,966.0,553.0,1449.0,236.0,437.0,304.0,458.0,29.0,605.0,159.0,609.0,191.0,583.0,268.0,287.0,32.0,442.0,43.0,116.0,29.0,320.0,236.0,276.0,17.0,18.0,11.0,68.0,185.0,516.0,76.0,302.0,213.0,133.0,96.0,236.0,27.0,10825.0,4656.0,2756.0,1811.0,2278.0,1035.0,1894.0,3696.0
7,08,3031.0,1697.0,4587.0,485.0,537.0,191.0,735.0,182.0,514.0,195.0,296.0,38.0,517.0,78.0,138.0,39.0,234.0,157.0,174.0,21.0,11.0,6.0,104.0,189.0,855.0,106.0,115.0,33.0,153.0,69.0,155.0,16.0,335.0,220.0,406.0,51.0,248.0,86.0,251.0,55.0,266.0,70.0,122.0,10.0,242.0,47.0,97.0,19.0,127.0,126.0,89.0,7.0,3.0,1.0,26.0,56.0,882.0,114.0,213.0,190.0,14.0,9.0,10.0,1.0,10812.0,2285.0,1511.0,1177.0,935.0,396.0,2508.0,427.0
8,09,1300.0,658.0,1541.0,141.0,580.0,187.0,555.0,155.0,340.0,162.0,138.0,15.0,555.0,51.0,85.0,29.0,241.0,167.0,229.0,22.0,44.0,11.0,180.0,262.0,370.0,55.0,42.0,10.0,712.0,528.0,1299.0,246.0,245.0,170.0,183.0,16.0,293.0,109.0,254.0,73.0,185.0,117.0,115.0,17.0,360.0,36.0,115.0,17.0,223.0,160.0,168.0,4.0,15.0,9.0,51.0,96.0,447.0,48.0,96.0,27.0,94.0,100.0,159.0,37.0,4254.0,2206.0,1089.0,1248.0,1214.0,668.0,1095.0,3175.0
9,10,3337.0,1489.0,2982.0,312.0,1014.0,337.0,953.0,231.0,536.0,267.0,219.0,17.0,909.0,94.0,153.0,57.0,458.0,262.0,319.0,31.0,48.0,23.0,259.0,417.0,227.0,64.0,92.0,38.0,262.0,121.0,176.0,15.0,308.0,146.0,313.0,38.0,518.0,139.0,400.0,81.0,223.0,61.0,103.0,12.0,378.0,31.0,76.0,29.0,266.0,139.0,199.0,19.0,17.0,8.0,71.0,187.0,294.0,63.0,94.0,66.0,38.0,29.0,52.0,1.0,8925.0,3673.0,1438.0,1727.0,1693.0,1030.0,938.0,694.0
