,code_insee,Infrastructures_Football,Infrastructures_Tennis,Infrastructures_Basketball,Infrastructures_Judo,Infrastructures_Handball,Infrastructures_Golf,Infrastructures_Natation,Infrastructures_Rugby,AgeInfrastructures_Football,AgeInfrastructures_Tennis,AgeInfrastructures_Basketball,AgeInfrastructures_Judo,AgeInfrastructures_Handball,AgeInfrastructures_Golf,AgeInfrastructures_Natation,AgeInfrastructures_Rugby
0,01,396,437,158,63,157,25,35,42,40,36,75,34,58,108,78,37
1,02,332,205,117,38,118,10,21,9,41,34,39,31,78,86,80,29
2,03,311,209,96,28,96,15,19,19,45,39,39,31,39,131,109,34
3,04,59,119,24,19,25,9,9,2,33,36,36,25,36,86,121,0
4,05,28,103,33,15,32,5,16,3,47,43,38,34,37,60,130,38
5,06,152,461,136,61,141,18,47,14,32,46,70,31,97,86,111,40
6,07,152,168,62,38,67,0,9,22,40,38,77,27,78,0,104,48
7,08,226,93,119,33,118,2,18,4,38,30,49,35,40,85,58,44
8,09,55,87,31,10,32,2,10,16,43,40,36,35,109,52,58,42
9,10,203,178,73,26,76,4,11,4,40,37,108,32,104,63,51,14
10,11,111,228,55,36,62,6,30,27,32,33,36,30,52,51,126,29
11,12,215,155,89,23,89,3,18,10,44,37,51,26,68,99,95,45
12,13,374,841,290,162,312,32,90,25,40,35,37,30,101,93,137,40
13,14,398,422,177,63,180,18,35,20,41,42,73,31,88,142,110,34
14,15,152,75,40,9,41,6,8,13,40,44,39,34,95,84,53,35
15,16,286,310,103,31,111,5,30,19,46,39,96,29,94,57,141,48
16,17,348,454,147,59,147,19,44,40,43,39,39,28,39,113,118,44
17,18,218,196,65,35,64,9,11,21,41,34,33,31,33,90,134,48
18,19,151,113,64,21,64,9,6,51,43,36,37,29,37,102,85,48
19,21,299,330,107,47,110,15,29,34,44,41,41,32,92,88,93,40
20,22,392,112,136,40,137,7,19,6,35,28,29,27,74,73,78,25
21,23,109,47,51,12,51,4,3,4,47,38,37,25,37,86,22,47
22,24,251,257,103,47,106,13,22,36,45,41,50,33,58,90,104,49
23,25,356,248,139,46,141,18,18,13,40,37,38,32,62,72,129,36
24,26,201,297,106,47,109,9,27,42,43,39,41,32,60,101,110,47
25,27,320,236,117,61,118,17,23,17,38,32,38,32,88,100,100,38
26,28,227,208,89,48,92,10,21,15,42,35,37,27,76,99,93,47
27,29,709,191,339,98,340,17,41,28,33,33,80,28,98,116,83,26
28,30,320,460,106,80,115,7,36,16,38,38,32,31,60,78,130,40
29,31,463,705,266,141,265,31,51,112,36,36,59,28,73,133,122,40
30,32,111,170,59,24,54,13,15,70,40,42,83,33,55,105,105,48
31,33,644,969,267,135,276,26,49,74,48,44,39,38,92,116,80,55
32,34,257,727,149,84,154,19,45,36,28,28,76,27,51,69,85,26
33,35,700,228,398,70,401,24,29,20,33,33,30,31,66,105,87,27
34,36,274,150,66,32,67,7,22,11,37,36,33,27,50,102,87,32
35,37,319,277,139,55,139,8,17,24,38,34,68,29,41,102,91,32
36,38,524,734,323,109,327,11,92,92,42,35,88,33,73,97,133,46
37,39,207,110,75,29,76,7,18,16,44,92,96,26,87,94,106,44
38,40,127,340,114,37,117,13,25,82,44,39,68,32,49,104,97,48
39,41,220,234,92,35,94,6,26,14,40,38,34,31,34,110,77,33
